date,station,aqi,category,is_monsoon,is_winter,diwali_factor
2020-01-01,Bandra,116.38,Moderate,False,True,1.0
2020-01-01,Andheri,84.4,Satisfactory,False,True,1.0
2020-01-01,Borivali,108.85,Moderate,False,True,1.0
2020-01-01,Colaba,193.0,Moderate,False,True,1.0
2020-01-01,Worli,170.83,Moderate,False,True,1.0
2020-01-01,Kurla,154.94,Moderate,False,True,1.0
2020-01-01,Malad,168.94,Moderate,False,True,1.0
2020-01-01,Powai,230.31,Poor,False,True,1.0
2020-01-01,Chembur,219.49,Poor,False,True,1.0
2020-01-01,Navi Mumbai,190.05,Moderate,False,True,1.0
2020-01-02,Bandra,143.37,Moderate,False,True,1.0
2020-01-02,Andheri,124.41,Moderate,False,True,1.0
2020-01-02,Borivali,121.38,Moderate,False,True,1.0
2020-01-02,Colaba,91.93,Satisfactory,False,True,1.0
2020-01-02,Worli,111.17,Moderate,False,True,1.0
2020-01-02,Kurla,218.8,Poor,False,True,1.0
2020-01-02,Malad,159.6,Moderate,False,True,1.0
2020-01-02,Powai,185.62,Moderate,False,True,1.0
2020-01-02,Chembur,146.06,Moderate,False,True,1.0
2020-01-02,Navi Mumbai,227.11,Poor,False,True,1.0
2020-01-03,Bandra,171.31,Moderate,False,True,1.0
2020-01-03,Andheri,85.32,Satisfactory,False,True,1.0
2020-01-03,Borivali,136.93,Moderate,False,True,1.0
2020-01-03,Colaba,183.49,Moderate,False,True,1.0
2020-01-03,Worli,157.13,Moderate,False,True,1.0
2020-01-03,Kurla,131.63,Moderate,False,True,1.0
2020-01-03,Malad,180.45,Moderate,False,True,1.0
2020-01-03,Powai,176.1,Moderate,False,True,1.0
2020-01-03,Chembur,191.37,Moderate,False,True,1.0
2020-01-03,Navi Mumbai,260.69,Poor,False,True,1.0
2020-01-04,Bandra,80.24,Satisfactory,False,True,1.0
2020-01-04,Andheri,41.33,Good,False,True,1.0
2020-01-04,Borivali,172.79,Moderate,False,True,1.0
2020-01-04,Colaba,158.95,Moderate,False,True,1.0
2020-01-04,Worli,176.16,Moderate,False,True,1.0
2020-01-04,Kurla,156.27,Moderate,False,True,1.0
2020-01-04,Malad,126.27,Moderate,False,True,1.0
2020-01-04,Powai,165.46,Moderate,False,True,1.0
2020-01-04,Chembur,175.31,Moderate,False,True,1.0
2020-01-04,Navi Mumbai,210.34,Poor,False,True,1.0
2020-01-05,Bandra,145.02,Moderate,False,True,1.0
2020-01-05,Andheri,245.44,Poor,False,True,1.0
2020-01-05,Borivali,133.85,Moderate,False,True,1.0
2020-01-05,Colaba,163.88,Moderate,False,True,1.0
2020-01-05,Worli,174.36,Moderate,False,True,1.0
2020-01-05,Kurla,163.15,Moderate,False,True,1.0
2020-01-05,Malad,149.11,Moderate,False,True,1.0
2020-01-05,Powai,156.76,Moderate,False,True,1.0
2020-01-05,Chembur,173.9,Moderate,False,True,1.0
2020-01-05,Navi Mumbai,177.1,Moderate,False,True,1.0
2020-01-06,Bandra,130.72,Moderate,False,True,1.0
2020-01-06,Andheri,153.83,Moderate,False,True,1.0
2020-01-06,Borivali,157.15,Moderate,False,True,1.0
2020-01-06,Colaba,149.95,Moderate,False,True,1.0
2020-01-06,Worli,170.37,Moderate,False,True,1.0
2020-01-06,Kurla,289.62,Poor,False,True,1.0
2020-01-06,Malad,179.99,Moderate,False,True,1.0
2020-01-06,Powai,204.38,Poor,False,True,1.0
2020-01-06,Chembur,165.74,Moderate,False,True,1.0
2020-01-06,Navi Mumbai,244.15,Poor,False,True,1.0
2020-01-07,Bandra,123.68,Moderate,False,True,1.0
2020-01-07,Andheri,150.91,Moderate,False,True,1.0
2020-01-07,Borivali,150.97,Moderate,False,True,1.0
2020-01-07,Colaba,50.21,Satisfactory,False,True,1.0
2020-01-07,Worli,164.94,Moderate,False,True,1.0
2020-01-07,Kurla,139.11,Moderate,False,True,1.0
2020-01-07,Malad,182.69,Moderate,False,True,1.0
2020-01-07,Powai,196.76,Moderate,False,True,1.0
2020-01-07,Chembur,197.95,Moderate,False,True,1.0
2020-01-07,Navi Mumbai,161.52,Moderate,False,True,1.0
2020-01-08,Bandra,60.08,Satisfactory,False,True,1.0
2020-01-08,Andheri,150.78,Moderate,False,True,1.0
2020-01-08,Borivali,138.18,Moderate,False,True,1.0
2020-01-08,Colaba,201.34,Poor,False,True,1.0
2020-01-08,Worli,209.03,Poor,False,True,1.0
2020-01-08,Kurla,158.74,Moderate,False,True,1.0
2020-01-08,Malad,163.01,Moderate,False,True,1.0
2020-01-08,Powai,187.79,Moderate,False,True,1.0
2020-01-08,Chembur,197.97,Moderate,False,True,1.0
2020-01-08,Navi Mumbai,237.21,Poor,False,True,1.0
2020-01-09,Bandra,131.21,Moderate,False,True,1.0
2020-01-09,Andheri,147.85,Moderate,False,True,1.0
2020-01-09,Borivali,117.46,Moderate,False,True,1.0
2020-01-09,Colaba,77.16,Satisfactory,False,True,1.0
2020-01-09,Worli,145.37,Moderate,False,True,1.0
2020-01-09,Kurla,186.72,Moderate,False,True,1.0
2020-01-09,Malad,183.1,Moderate,False,True,1.0
2020-01-09,Powai,224.04,Poor,False,True,1.0
